                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r21.12.1"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20230310"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     1202                  1.0000000000000001E-005                 -4.9999999999999991E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200037E-001                  2.3621918816975951E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200037E-001                  2.3621918816975951E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646190116795E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646190116795E+000                 -8.7804646190116795E+000                 -2.6404234075405213E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6717499235825581E+000                  1.7600954673352021E+000                  1.0592010473669815E+000                  2.7967867872888319E+000                  0.0000000000000000E+000                  1.2693385464505921E+001                 -1.7430739592777866E+000                  6.3010706860597256E+000                  6.1233124201359346E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046775E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       2                                     1210                  2.1999999999999999E-005                 -4.9208187539523749E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3661075330507361E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3661075330507361E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646186940278E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646186940278E+000                 -8.7804646186940278E+000                 -2.6404234074352846E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6717990742608890E+000                  1.7602921385278225E+000                  1.0592010816066304E+000                  2.7967867188095346E+000                  0.0000000000000000E+000                  1.2693385464616453E+001                 -1.7430739591937097E+000                  6.3010706860862147E+000                  6.1233124201358147E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       3                                     1208                  3.6400000000000004E-005                 -4.8416375079047498E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3662874457666301E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3662874457666301E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646183078763E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646183078763E+000                 -8.7804646183078763E+000                 -2.6404234073072505E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6718062295907945E+000                  1.7603207518651665E+000                  1.0592010776154919E+000                  2.7967867267918116E+000                  0.0000000000000000E+000                  1.2693385464749566E+001                 -1.7430739590925304E+000                  6.3010706861181864E+000                  6.1233124201356726E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       4                                     1208                  5.3680000000000008E-005                 -4.7624562618571247E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3665497085881216E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3665497085881216E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646178424886E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646178424886E+000                 -8.7804646178424886E+000                 -2.6404234071528958E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6718054679151635E+000                  1.7603176864402408E+000                  1.0592010682542898E+000                  2.7967867455142152E+000                  0.0000000000000000E+000                  1.2693385464909925E+001                 -1.7430739589707371E+000                  6.3010706861567911E+000                  6.1233124201354983E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       5                                     1208                  7.4416000000000014E-005                 -4.6832750158095005E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3667755791142227E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3667755791142227E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646172834708E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646172834708E+000                 -8.7804646172834708E+000                 -2.6404234069674597E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6718037058760671E+000                  1.7603106185110207E+000                  1.0592010583678719E+000                  2.7967867652870511E+000                  0.0000000000000000E+000                  1.2693385465102498E+001                 -1.7430739588244946E+000                  6.3010706862031700E+000                  6.1233124201352895E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       6                                     1208                  9.9299200000000013E-005                 -4.6040937697618753E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3669830774219271E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3669830774219271E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646166118481E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646166118481E+000                 -8.7804646166118481E+000                 -2.6404234067446385E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6718020258101567E+000                  1.7603038790371492E+000                  1.0592010487627583E+000                  2.7967867844972782E+000                  0.0000000000000000E+000                  1.2693385465333792E+001                 -1.7430739586488793E+000                  6.3010706862589094E+000                  6.1233124201350397E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       7                                     1208                  1.2915904000000000E-004                 -4.5249125237142502E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3672021134239822E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3672021134239822E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646158055562E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646158055562E+000                 -8.7804646158055562E+000                 -2.6404234064771217E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6718005544610435E+000                  1.7602979751241385E+000                  1.0592010395044789E+000                  2.7967868030138376E+000                  0.0000000000000000E+000                  1.2693385465611433E+001                 -1.7430739584380872E+000                  6.3010706863258257E+000                  6.1233124201347389E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       8                                     1208                  1.6499084799999998E-004                 -4.4457312776666260E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3673424106765883E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3673424106765883E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646148379302E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646148379302E+000                 -8.7804646148379302E+000                 -2.6404234061560548E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6717992749057662E+000                  1.7602928389885737E+000                  1.0592010305472515E+000                  2.7967868209282924E+000                  0.0000000000000000E+000                  1.2693385465944642E+001                 -1.7430739581851213E+000                  6.3010706864061516E+000                  6.1233124201343769E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
                                       9                                     1208                  2.0798901759999997E-004                 -4.3665500316190009E+000                  3.0000000000000000E+000                  3.3775627165080330E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3675486511952483E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997413200059E-001                  2.3675486511952483E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -8.7804646136752869E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -8.7804646136752869E+000                 -8.7804646136752869E+000                 -2.6404234057702435E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6717981571489573E+000                  1.7602883505568452E+000                  1.0592010218450045E+000                  2.7967868383327863E+000                  0.0000000000000000E+000                  1.2693385466344850E+001                 -1.7430739578813379E+000                  6.3010706865026709E+000                  6.1233124201339428E-001                  8.5900475343229010E-001                  1.2724973475622734E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503081E-003                  6.5663693516046784E-003                  2.4128183525503090E-003                  6.5663693516046758E-003                  2.1539999999999990E+000                  8.0391443821877895E-001                                        0                                        2 
